
# Generated 315 puzzle(s) in 170.85 seconds | 13.48 avg clues/puzzle

# Command line: python gen_puzzles.py -pt lime-jigsaw -r 1532751572 -n 315 -mint 2 -maxt 2 -sort none -o puzzledata/daily/lime-daily-2026-09-07-fri-lime-jigsaw-t2.tsv
puzzle-1	lime-jigsaw	ABBBBCCCCABBBBCCDDAAAABCCDDEAAAFFCDDEEFFFFFDDEEGFFHHHDEEGGIHHHHEEGGIIIIHGGGGIIIIH	...1..3...3.........3................3......2...24..........3..2..333....3..2....	OO.....O...O...OO....OO.O....O.O...OO..O.O....O...O..O....O..OO.OO...O..O..O.O...	{"work": 163, "mta": 2, "logic_history": "Ecx,Mpc,Mamc,MalC,MamC,Ecx,ECx,Ecx,ECx,Mamc,ECx,Ecx,ECx,Ecx,ECx,MalC,MamC,ECx,Ecx,ECx,Mpc,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-2	lime-jigsaw	AAABBBBBBAAAABBBCDAEEEFFFCDAEGGFCCCDEEGGFCCDDEGGGFCCDHEGFFFDDDHEGIIIHHHHIIIIIIHHH	...............23..33..3......3....1...334..2...3.4........3......3..............	O..O....O..O..O..OO..O...O..O..OO...O.O...O......O..OO.O..O.O...OO....O....O.OO..	{"work": 127, "mta": 2, "logic_history": "Ecx,Mamc,ECx,Ecx,Ecx,Ecx,Ecx,Mpc,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,MamC,MalC,ECx,ECx,MamC,ECx,MalC,ECx,ECx"}
puzzle-3	lime-jigsaw	AAABBCCCDAAABBCCDDABBBBCCDDAAEEBCCDDFFEEEEEDDFFGGHEEIIFFGGHHHHIFFGGHHIIIFGGGHHIII	......1..23............2..1.5.......3..........4..........23.....3..3..3......4..	....OO..O..OO....OOO....O..O.O..O....O..O...OO..O..O...OO....O.....O.OO....O.O.O.	{"work": 203, "mta": 2, "logic_history": "Ecx,ECx,Ecx,ECx,Mpc,Ecx,ECx,ECx,MalC,MamC,ECx,ECx,Ecx,ECx,ECx,MalC,Mamc,MalC,Mamc,ECx,MalC,ECx,MamC,ECx,ECx,MalC,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-4	lime-jigsaw	AAAAAAABBCCAADEEEBCCCCDEBBBCCCDDEEBBFGGGDEEEBFFGGDDHHHFFFGDHHHHFGGGDIIHHFFIIIIIII	...1...............2......22.............3..3..344..3......1.3......2..........21	.OO..O........OO.OO..O..O...O..O..O....OO..O.O....O..O..OO....OOO.....O...O.O.O..	{"work": 172, "mta": 2, "logic_history": "Mpc,Mamc,ECx,Mpc,Ecx,Ecx,Mpc,MalC,Ecx,ECx,Ecx,ECx,Mamc,MalC,ECx,ECx,ECx,Ecx,MalC,Mpc,ECx,ECx,ECx"}
puzzle-5	lime-jigsaw	AAAABBCCCAAABBBBCCAADBBEECCDDDDBECCFDDDEEEFFFDGGEHFFFFGGEEHHFIIGGHHHHIIIGGGHHIIII	...................2...........3.3.1..3.2......23....2.........3..1..............	O.OO.........O..OO...OO.O...OO....O.O..O..O......O.OO...O..O..O.O...O..OOO...O...	{"work": 109, "mta": 2, "logic_history": "Mgc,Mamc,Ecx,Mpc,Ecx,Mpc,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,MalC,ECx,ECx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-6	lime-jigsaw	AABBCCCCCAAABBCDDCAABBECDDCAABEEDDDDFBBEEEGGDFFFFEEGHHIFFIEGGHHIFFIGGHHHIIIIIGGHH	.2.2.13................3....3.3..3.......3...............3....3......3.....3...1.	O.O....O....O.O.O..O....O.OO.O..O......OO.O..OO......O....O.OO...OO....O.O..OO...	{"work": 215, "mta": 2, "logic_history": "Mgc,Mamc,MamC,Ecx,MalC,Ecx,ECx,Ecx,Ecx,ECx,MamC,Malc,ECx,Mamc,ECx,MalC,MamC,Mamc,MalC,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-7	lime-jigsaw	AAAAAABBBACCCCAABBDCCCCCBBBDEEEEFFFBDDDDEFFFFGDDDEEEEFGGGHHHHHFGGIIHHHHIGGGIIIIII	......2....4..2..21........2......3...3........4.......32..................21....	O.O.....O...O..OO..OO...O......OOO...O.O...O..O..OO...O..O.O...O...O...O..O....OO	{"work": 126, "mta": 2, "logic_history": "Mgcg,MamC,Malc,ECx,Ecx,Ecx,MamC,Ecx,MalC,MamC,Ecx,ECx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx"}
puzzle-8	lime-jigsaw	AAAABBCCCAAADEBBFCGAADEEBFCGDDDEBBFCGDHHEBBFCGDHHEFFFCGDHEEFIICGDHHEFIIIGGGHHIIII	.1........3.......1...5.3.2..4........4..3.....3.22...................41..2......	..O..O..O....OO..O.OO....O....OOO....O..O..O..O.O...O.O.....O.OO.O...O..O..O..O..	{"work": 179, "mta": 2, "logic_history": "Mgc,Mpc,Ecx,Mamc,ECx,Ecx,Ecx,Mamc,ECx,Ecx,Ecx,Ecx,ECx,Mpc,MalC,ECx,ECx,Mamc,MalC,Malc,Ecx,ECx,ECx,ECx,ECx,ECx,ECx,ECx,ECx"}
puzzle-9	lime-jigsaw	AAAAABBBBAAAABBBBBCCDDDEEFFCCCDEEGGFCDDDEGGGFCDDEEGFFFCCEEGGGFFHHHHHIIIIHHHHIIIII	................32..4................2.....4.2.....3.....1...42...345...2......1.	..O....OO..OO..O..OO..O.......O.O.O.O...O...O.O.....OO..O..OO..OO....O.....OOO...	{"work": 147, "mta": 2, "logic_history": "Mpc,Mamc,Ecx,Ecx,ECx,MamC,MalC,ECx,Ecx,MalC,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,Ecx,ECx,ECx,ECx,MalC,ECx,ECx,MamC,ECx,ECx,ECx"}
puzzle-10	lime-jigsaw	AAAABCCCCAAAABCCCCDDDABECEEDDDFBEEEEDDDFBEGGGFFFFBEGGGFFHFBIGGGHHHHBIIIIHHHHBIIII	............5...........5..1.5.......3...5.2.2.2...3....2...................1....	..OOO.........OOO...OO...O..O.O..O....O.O.O...O..OO...O......OOOO......OO....O..O	{"work": 193, "mta": 2, "logic_history": "Mpc,MamC,Mamc,ECx,Ecx,Mamc,ECx,MalC,ECx,MalC,MamC,MalC,Mamc,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,MalC,ECx,ECx,ECx"}
