
# Generated 210 puzzle(s) in 44.41 seconds | 14.21 avg clues/puzzle

# Command line: python gen_puzzles.py -pt lime -r 1532332656 -n 210 -mint 1 -maxt 1 -sort none -o puzzledata/daily/lime-daily-2026-09-07-mon-lime-t1.tsv
puzzle-1	lime	...3....3....32..........2.....5........3......3.1......3.2.2...........1...3.3..	..O.O..O...O....OOO..OO....O..O.O.....O..OO...O....O.OOO......O...OO.O...O...O.O.	{"work": 18, "mta": 1, "logic_history": "ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-2	lime	.2....2................33..........1......4.....34.43......3.2...2..4........3...	O.O.....O.....O.OO.O.OO.....OO...O.....O.O.O...O..O..OO..O..O..OO..O........O.OO.	{"work": 25, "mta": 1, "logic_history": "Ecx,Ecx,ECx,Ecx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-3	lime	.3....................34......4..2...31.......3..1.......1.......4..2.....4......	..O.OO....OO...O.....O..O.O..O.OO...O...O...OO......OOO.....OO..O.O...O..O.O.O...	{"work": 24, "mta": 1, "logic_history": "Ecx,Ecx,Ecx,ECx,Ecx,ECx,ECx,Ecx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-4	lime	....2.......3.11....1..2..3.........1....5...............3..31........3.........2	.O.O....OO...O...OO..O...O.O.....OO...O.O.O....O.OO....OO..O....O...O..O...O..OO.	{"work": 22, "mta": 1, "logic_history": "Ecx,Ecx,ECx,Ecx,ECx,Ecx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-5	lime	...2.3.........3....1......2..333..2....3.....3.44.....45........................	.O..O.O..O...O..O.O...O..O..O....OO...OO.O.....O..O..OO..O....O.OOO..........OO.O	{"work": 18, "mta": 1, "logic_history": "ECx,Ecx,ECx,Ecx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-6	lime	2.2...2........3....2..3.5............3.................32.2.2.2.4..............3	.O..OO...O.O....O.....O.O.O..O...O.O...O.OO..OO...O...OO..O.......O...OO..OO...O.	{"work": 21, "mta": 1, "logic_history": "Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-7	lime	..3........5............1.....223......2.........43...3......2...2.3..3.....2....	...O..OO..O.OO.....OO.....OO.....O.O....OO.O.OO.O.......O.O...OO....OO....O..O.O.	{"work": 20, "mta": 1, "logic_history": "ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-8	lime	1.................3....2......3..............22...32..1..5.5........4...1..3..1..	.....OOO.O....O.O..OOO.....O.O..O...O......OO...OO...O.O..O.O.....OO.O...OO.....O	{"work": 16, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,Ecx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-9	lime	........2..2.........3.....1..3..........3.....4..53...2..5.......3.44...3.......	O....O.O.O..O....O..O..O..O..O....OO.O..O.O...O.OO.......O.OO...O..O..O.O.O...O..	{"work": 16, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-10	lime	................3.....3.....43.........3.......1..3........3.4....2........13.2..	...O.O.O...OO..O...OO....O.O..OO....O...O.O..O......OO..O...O.O.O..OO....O...O..O	{"work": 21, "mta": 1, "logic_history": "Ecx,ECx,Ecx,Ecx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-11	lime	.23.2.....3.........3.31..4.....3......3..2.........1..4....4...3................	O..O..O....OO....OO..O...O.....O..OO.O..OO....OO.....OO.O..O........OOO..O..O.O..	{"work": 21, "mta": 1, "logic_history": "Ecx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,Ecx,ECx,Ecx,ECx,ECx"}
puzzle-12	lime	.....................6.....3..5....1.....223.......3.........33.......3.3........	.....OOO...OO..O..O.O.O.....OO.O....O..O....O.....O.OO...OOO...OO......O.O....OO.	{"work": 19, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-13	lime	.......................4.....1...3.2332.3.3..2...2.3......4...............2......	..OO...O...OO..O..O...O.O..OO..O.........O.OO.O...O..OO.O.....O...OOO....O....OO.	{"work": 19, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-14	lime	................3...22.1..3.....2..2....3.......344..2.......3...............22..	...OO.O..O...O...OOO.....O.O..O...O....O.OO...OO....O.....OO..O..O..OO...OO.....O	{"work": 17, "mta": 1, "logic_history": "Ecx,Ecx,Ecx,ECx,Ecx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-15	lime	.............32.......3..3..4.......2....4.......25.5.2....4.....2.......32......	..O.OO......O...OO.OO.....OO..O.O....O..O.O....O...O.O....O.OO.OO...O...O..O...O.	{"work": 16, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
