
# Generated 315 puzzle(s) in 201.10 seconds | 13.05 avg clues/puzzle

# Command line: python gen_puzzles.py -pt lime-windows -r 1532646843 -n 315 -mint 2 -maxt 2 -sort none -o puzzledata/daily/lime-daily-2026-09-07-thu-lime-windows-t2.tsv
puzzle-1	lime-windows	......2.....4...3.35...1.......2.............1.......2.1.....4......3.....3......	...OOO...O.O...O....O....OOOO.....O..O..OO......O..OO.....OO..O..OO....OOO....O..	{"work": 95, "mta": 2, "logic_history": "Mpc,Mgcg,ECx,Ecx,MalC,Mamc,ECx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-2	lime-windows	..2...2.....5.1....2..3......2.....3...2..................3..........4.........1.	O..O...O...O.O..O...OO....O....O.OO.O....O..OOO..O.........OO.O.OO..O....O.O..O..	{"work": 150, "mta": 2, "logic_history": "Mpc,Mamc,ECx,Ecx,ECx,MalC,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,MamC,ECx,Ecx,ECx,ECx,MalC,Malc,ECx,ECx,Malc,ECx,ECx"}
puzzle-3	lime-windows	2.3.........4.......3.........33...1.........2..4...2.1..4.......32...3..........	...O...OOOOO.........OO.O..O.....OO.O..O..O....O.OO....OO....O.....OO..O.O...O..O	{"work": 142, "mta": 2, "logic_history": "Mpc,Mamc,Mgcg,ECx,Mamc,MalC,ECx,Ecx,ECx,Ecx,ECx,ECx,Mpc,Mamc,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-4	lime-windows	.....3........5.....3......2..................42.....2............1...3..12...3..	..OO..O....O.O.O...O..O.O....O....OOO...O...OO..O.O...OO.....O..O...O..O...O.O.O.	{"work": 92, "mta": 2, "logic_history": "Mamc,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Mamc,ECx,MalC,Mamc,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-5	lime-windows	..32.21......3....1....................3.4...2....4...2...2.3.2..................	OO..O.....O.O..O......O..OO...O.O..OO.O...O...O..O.O....O..O.O.O.O.....O...O.O.O.	{"work": 177, "mta": 2, "logic_history": "Mamc,Mamc,Ecx,Mamc,MalC,Ecx,Ecx,ECx,MamC,MalC,ECx,ECx,MalC,Malc,MamC,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-6	lime-windows	.3.1.......................2.....4....4.....3.1.......2..3.......4..32...........	O....O..OO.O.....O....OOO...OO....O..O..O..O....O.O.O.....O.O.OOO.O.......OO..O..	{"work": 123, "mta": 2, "logic_history": "Mgc,Mpc,MalC,ECx,Ecx,ECx,Mpc,ECx,Ecx,ECx,Ecx,ECx,ECx,Mamc,ECx,ECx,Ecx,ECx,ECx,ECx,Mgc,ECx,ECx,ECx,ECx"}
puzzle-7	lime-windows	1........2..........3.2.3................42.......3...1.......42.....43.1........	...O.O..O.OO...O..O..O...O.O...O.O..O.O.O........O..OO.O...O.O...OO....O.O...OO..	{"work": 70, "mta": 2, "logic_history": "Ecx,Mamc,ECx,ECx,ECx,Ecx,ECx,MalC,ECx,ECx,MamC,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-8	lime-windows	.....2.22...4..1....3...........................3...11.4.4.3.............1.......	.OO.O........O..OO.O.O....O...O..OO..O...O..OO.O..O...O.O.O.......O..OO.O....OO..	{"work": 91, "mta": 2, "logic_history": "Ecx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,Mpc,ECx,ECx,MalC,ECx,MamC,ECx,ECx,Mamc,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-9	lime-windows	.....2........4...........2...3....32.....2........3.2...2......33...........2..2	O...O.O....OO....OO....OO....O.O..O....O...OOOO.O......O...OO......OO..O.OO....O.	{"work": 212, "mta": 2, "logic_history": "Mpc,ECx,Mamc,ECx,Ecx,ECx,MalC,ECx,Mgc,ECx,ECx,ECx,MamC,ECx,Ecx,MamC,ECx,Malc,ECx,ECx,MamC,MalC,MalC,ECx,Mamc,ECx,ECx"}
puzzle-10	lime-windows	2.............3...1.......12....4........3......222......4......3.........33...1.	.O...O.O.O.....O.O..OO.O......OO.O..OO..O......O....OO.....O.OO..OOO....OO....O..	{"work": 112, "mta": 2, "logic_history": "Ecx,Mamc,Mamc,MalC,Ecx,Ecx,ECx,ECx,ECx,ECx,MalC,Ecx,Ecx,Ecx,ECx,ECx,Ecx,Mpc,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx"}
