
# Generated 210 puzzle(s) in 24.15 seconds | 13.90 avg clues/puzzle

# Command line: python gen_puzzles.py -pt lime-diagonals -r 1532542114 -n 210 -mint 1 -maxt 1 -sort none -o puzzledata/daily/lime-daily-2026-09-07-wed-lime-diagonals-t1.tsv
puzzle-1	lime-diagonals	...43.........3......4..4....2.....3.....4......3..1.1.............3...3...12....	..O..OO....OOO......O....OO.....OOO.O..O..O..OO..O.....O..O...O.O.O...O.O....O..O	{"work": 20, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-2	lime-diagonals	....31.......3......2...3.3...4..........4........3..........3......4...1...2...1	O..O...O....O.O..OOO.....O.....O.O.O..OOO....OO....O....O..O..O.O..O..O...O..OO..	{"work": 23, "mta": 1, "logic_history": "Ecx,ECx,ECx,Ecx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-3	lime-diagonals	1....1.2.................4...1..4....3.3.....2....2..1.......32......3.1.........	..OO....O.O...O..OO....O..O....O.OO.O.O..O....O.O...O...OO..O..O...O..O..O..O.O..	{"work": 18, "mta": 1, "logic_history": "Ecx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-4	lime-diagonals	......2.............3.......5....3...32..2...............6...1....4..3.......22..	.O.O.O......O..O.OOO....O..O.O....O.O......OO...OOO.....O.O.O....O.OO....O.....OO	{"work": 21, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-5	lime-diagonals	1....2...13....1.3......23.......1.3...........1..........4................2.22..	.O..O...O..O.O..O...OO....O.O..O..O.O..O....OO....OO.......OOO....O.OO..OOO......	{"work": 12, "mta": 1, "logic_history": "Ecx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-6	lime-diagonals	...............4........52.......4..2..3.............2..44.......2.....2........1	O.....O.O..O..O.O...OO.O......O.O.O..O....O.O.OO.O....OO......OO..OO........O.OO.	{"work": 20, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx"}
puzzle-7	lime-diagonals	..4.......3...3....1.44...2.................3.4.......4......................3...	OO.O.......OO..O.......OOO....OO...O..O.O..O.O.O.....O.O...O..OOO...O.......O.OO.	{"work": 14, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,ECx"}
puzzle-8	lime-diagonals	..........................2.......4...3.....1...6.4.......2......3..1.......2....	.O...O.O...O.OO....O....OO.OO......O...OO.O....O.O.O..O.OO.....O......OO...O.O..O	{"work": 26, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-9	lime-diagonals	........3............3..........6.2....3.......4..3.....4......233.......2.1.....	..OO...O..O.....OOO...OO.....O.O.O..O....OO...O.O....O.O.OO.........OOO.O.O.....O	{"work": 21, "mta": 1, "logic_history": "Ecx,ECx,Ecx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-10	lime-diagonals	...................4.5......4.......3........3..3211...3...1.........4.........3.	...O..OO...OO..O..O.O.O....O...OO....O..O...O.O.....OOO.OO..........O.OO.O...OO..	{"work": 21, "mta": 1, "logic_history": "Ecx,ECx,ECx,Ecx,ECx,Ecx,Ecx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-11	lime-diagonals	1..2.1.........4...........1....4...33..33.3......1.................4...........1	..O....OO.O.O.O.....O..O.O..O..O.O.....O..O.OOO.O.....O.O.....OO...O..O.....OOO..	{"work": 19, "mta": 1, "logic_history": "Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx"}
puzzle-12	lime-diagonals	..3...................22..3......45........3.1.22....2..3....1..3.3..............	OO.O........OO..O...O...OO..OO.....O.....OO.O.O..OO......O.O..OO.O.O....O.....OO.	{"work": 21, "mta": 1, "logic_history": "Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,ECx,ECx,ECx"}
puzzle-13	lime-diagonals	......2...3..........3..2...3..5.31......4.......13......31..........2...........	.....O.OOO.O.....O.O..OO...O..O.O....O..O.O....O...OO.OO......O..OO...O....OO.O..	{"work": 18, "mta": 1, "logic_history": "Ecx,Ecx,ECx,Ecx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-14	lime-diagonals	........12...........45...1..4.4......3.3133...3.....3.......2...................	.O....OO....OO.O...OO..O......O.O.O.O..O....OOO.....O...O.O...O..O.OO...O.....O.O	{"work": 19, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-15	lime-diagonals	2....3.......3....4.............234....4322.....3..35......1.....................	...OO.O..OO...O....O....OO.O..OO......O....OO..O..O..O..O....OOOO.O.........OOO..	{"work": 21, "mta": 1, "logic_history": "Ecx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx"}
puzzle-16	lime-diagonals	.............3.....2...........2.6.............3..22....4.23.......34..1.........	O.O.O.....O.O....O.....OOO...O..O.O.O......OO.O.OO.....O....O.OO.O...O.....OOO...	{"work": 22, "mta": 1, "logic_history": "Ecx,Ecx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-17	lime-diagonals	.....22......34.....2...4.............22..............22..........3323.....2.....	.OO.O......O...OO.....OO..OO..O..O..O.....O.OO..O.O......O.O.O..O.....OO.OO.O....	{"work": 20, "mta": 1, "logic_history": "Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-18	lime-diagonals	.......22.....4.......2........3.3....4............2......2.......1..43.......3..	..O.OO.......O..OOOO....O....OO...O....OO.O..O.O.....O.O.O..O..O....O..O.O...O.O.	{"work": 22, "mta": 1, "logic_history": "Ecx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-19	lime-diagonals	...1.............1..4.21.3.......1.....5....3.....33.4...3.......................	O....OO...O.O..O..O..O....OO.O.....O..O.O..O....OO..O.....O..OO.O...OO...OO..O...	{"work": 18, "mta": 1, "logic_history": "Ecx,ECx,Ecx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-20	lime-diagonals	.2.............2....4.......................2....2..4.2.4432......2.......1...3..	O..O..O...O..O...O.O..O.O....OO....O.....OOO.O.OO......O.....OO..O.OO...O....O.O.	{"work": 25, "mta": 1, "logic_history": "Ecx,Ecx,ECx,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-21	lime-diagonals	.1.......331........4.3........12..2...4...........3.4...........33..............	O...O.O......OO..OOO....O...OOO...........OOO.O.OO......O....OOO....O.O...OO.O...	{"work": 24, "mta": 1, "logic_history": "Ecx,ECx,Ecx,Ecx,ECx,Ecx,Ecx,ECx,Ecx,ECx,Ecx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,ECx"}
puzzle-22	lime-diagonals	......1..2.....3.3.54.....22...224.2........1.......2.......2....................	....O..OO.OO.O....O....O.O..OO....O...OO..O.....O.OO..O..OO....OO......O.....OO.O	{"work": 25, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,ECx"}
puzzle-23	lime-diagonals	...........4.........5........324.............3..3.........1.3.23.3..............	.O....O.O...OO..O..OO.O....O.O...O.......OOO.O..O.O...OO......O..O....OO...OOO...	{"work": 17, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-24	lime-diagonals	2.............4..2.....4..32................3.....12..2....2........443........1.	.O...O..O.O..O.O....O.O..O......O.OOOO.O.....O..O....O...O..OO.O.O.O......O..OO..	{"work": 16, "mta": 1, "logic_history": "Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-25	lime-diagonals	..................2....4.....44.......24..2.....3.21..1...3..........3...........	.....OO.OO....OO...OOO.........O.OO.OO..O......O.O...O.O.....OO...O.O.O.O.OO.....	{"work": 21, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-26	lime-diagonals	...........3.............53....22...1........25.3.....1..............3.......3...	O..OO.......O..O.OOO....O.....O...OO.OO..O.....O..OO...OO....O.....OO..OO...O..O.	{"work": 22, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-27	lime-diagonals	................3.....33.......4.2....1...............4.21.4.3..3................	...O...OO..O.O.O...OOO.....O....O..O....OO..OOO.....O..O..O.O..O....OO....OO...O.	{"work": 22, "mta": 1, "logic_history": "Ecx,Ecx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-28	lime-diagonals	.....3..............31.2...........2.........1..44.......54..2.........31........	....O.O.OO..O.O...OO.....O..O....OO.O..OO......O..OO....O..O..O..OOO.....O.....OO	{"work": 16, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-29	lime-diagonals	......................3......3...44.............3.3..2....2.3.3.......3.22...1..2	O..OO.....OO...O.......OO.O...O.O..O.OO...O....O.O..O.O....O.O.OO......O...OO..O.	{"work": 18, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,Ecx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-30	lime-diagonals	.........1.....4......2..........44.3....323........423.1....4......3............	..OOO.....OO....O......OOO.O....O..O.O.O....OO...O.O...O....O.OO...O..O...OO.O...	{"work": 14, "mta": 1, "logic_history": "ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-31	lime-diagonals	1.1..42...........2....3....43....3........3.........2..3........3.......1.......	.O..O...O....OOO...OO....O.O..O....OO...O.O....OO...O.OO.....O......OO.O..OO.O...	{"work": 19, "mta": 1, "logic_history": "Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
