puzzle-28	lime	....................2..4.4..2.......2...3.........22.2......3.3.....2.3....2.....	O....OO...OO..O.......O.O.O.....O.OO.OOO.....O...O..O....OO..O....O..O.OOOO......	{"work": 13, "mta": 1, "logic_history": "Ecx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-70	lime	................31..3..3.5.......5....2............3.....2..........32.....4.3...	O.O.O......OO..O.....O..O.O.....O.OO.O...O.O.OO...O...OO......O...OO..O...O.O.O..	{"work": 14, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-94	lime-centerdot	..2.2..............2.....4322......22..................4.33................2.42..	O..O.O.....O....OOO..O..O.....OO..O..O....O.O.OO..O...O.O....O.....OOO...O..O...O	{"work": 14, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-43	lime-centerdot	...23.........3.............2.2.25........3...2............4.4......4......33....	OO...O...O..OO..........OOOO.O....O....O.O.O...O.O...O.O....O.O...OO.O...OO..O...	{"work": 15, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-166	lime-diagonals	3................1.....2.4.....1...............3.........6.......4............12.	.O...OO..OO...O......O..O.OO......OOO.O....O....OOO.....O.O..O....OO.O...OO.....O	{"work": 11, "mta": 1, "logic_history": "Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-7	lime-diagonals	11.......3............4.3....2................543..2......2.........3.....1.2....	...O..O.O.O.OO....OO.....O.....OOO..O.O..O...O......OO.OOO.......O.O..O......OO.O	{"work": 15, "mta": 1, "logic_history": "Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-61	lime-windows	.....2.....4......2...2.3..4...1........3..............3.........23.2.......2....	..OOO........O..OO.OO.....O.O...OO..OO....O.....O.OO..O.OO.....O...O..O......O.OO	{"work": 12, "mta": 1, "logic_history": "Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-154	lime-windows	....22.2...3.3............3...2....3.....2.3...3.....2.......................21..	O.O...O.....O.O..O.O..O..O.OO.....O....O..O.O.O.O.O........OO.OO.O.O......O.O..O.	{"work": 13, "mta": 1, "logic_history": "ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-139	lime-jigsaw	ABBBBBCDDABBBCCCCDAAABECCCDAFAAEEECDFFFAEGDDDFHEEEGGDGFHHHEIGGGFHHHHIIIGFFHIIIIIG	.........3...........2.........6..22.....44..........3...3........4...3........2.	OOO.......O.....OO....OO.O..O.O.O......OO...O.....OOO.O.O.....O..O.O.O..O..O..O..	{"work": 14, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx"}
puzzle-118	lime-jigsaw	AAAAABCCCDAAAABBCCDDBBBBBCCDDDDEBEFCGDEEEEEFCGDEHEFFFFGGHHHHHFFGGHHIIIIFGGGHIIIII	...3.......3.............2.........2....2.44...332......2.1...3....4............1	..O.O...OO...OO....OO.....O.O...OO....OO....OO.....OO....O..OO.OO.....O....OOO...	{"work": 15, "mta": 1, "logic_history": "Ecx,Ecx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-121	lime-jigsaw-windows	AAABBBCCCDAAAABBCCDAAEBBCCCDDDEBBFFCDDEEEEEFFGDDHHEFFFGGGHHEIIFGGHHIIIIFGGGHHHIII	...............5................311.2....31......5.13....2.....3.................	..O...OO...O..O.O.O.O..O...OO..O.......OO...O...O.O..O.O..O...O.O....OO.O..O..O..	{"work": 13, "mta": 1, "logic_history": "Ecx,Ecx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-103	lime-jigsaw-windows	ABCCCCDDDABCCCCDEEABCDDDDDEABBFFFGGEABBFFFGGEABBFFFGGEAHHHHHIGEAAHIIIIGEHHHIIIIGE	.........2.4.3123..........2...3....1....4...1......43.......2..4................	..OO...O..O.O....OO...O..O..O...OO......O..OO..OO..O..O....O..OO.O..O....O..O.O..	{"work": 16, "mta": 1, "logic_history": "ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-133	lime	2..............2.....4.............4....31......44........4.4..2........2.....3..	.O..O.O..O.O.O........O.O.OO..O...O....O...OOO.O..O.....OO.O....O...OO...O.....OO	{"work": 14, "mta": 1, "logic_history": "Ecx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-49	lime	.....2...1.3..........2.........4.........2.......11.2.4.3.2........3....1...3...	..O.O..O..O...O.O...O..OO...O....O.O...O.O..OOO.O.....O.O.....O....O.OO.O..OO....	{"work": 15, "mta": 1, "logic_history": "ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-46	lime-centerdot	..........3.2...3...5....322.5....2......22......4.3.......2..........3..........	O....OO....O...O.O.O.O.O....O.O....O..O.O..O.O....O..O...OO..O.OOO..........O.OO.	{"work": 15, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx"}
puzzle-49	lime-centerdot	.............3.......3..42....25..2.....3....2....4...3.....1............1.......	O......OO..OO...O.O...OO...O....OO.....O.OO...OO...O...OO.O.....O..O...O...O...OO	{"work": 15, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-85	lime-diagonals	......4..3.....5........32.......3.......3.......1.3..2.3........................	.O...O.O......O.OOOO...O.....OOO........O.OO.O.O.....O.O....O.O...OO.O..O.OO.....	{"work": 15, "mta": 1, "logic_history": "Ecx,ECx,Ecx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-112	lime-diagonals	........2..2....3.......33........3........3...4.....1..4.......344.4......3.....	..OO...O.O....O..OO....O..O..O..O..OO...O.O...O.O...O..O.O..O......O.OO..OO.O....	{"work": 15, "mta": 1, "logic_history": "Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-55	lime-windows	.................1.4.....322......3.23....33........4.................323........	...OO.O....O.O..O.O.O...O...O...O..O..O..O..OO....O..O...O..OO.OO.O......O..O..O.	{"work": 14, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-58	lime-windows	..3................3.....2...1..4.32........1..2.4.......3.....2........2.......3	.O....O.O..OO.O.....O..O..OO...O.O..O...O..O.O..O..O....O.OO....O.....OO.O.O...O.	{"work": 15, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-10	lime-jigsaw	ABBBCCCCCABBBCDCCCABABBDEEEAAAAADEEEFFFDDDEEEFFFDGGGGGFFFDHHGHGIIIDIHHHGIIIIIHHHG	...2..........4....3.45.....3..........1...4..3.3......4........3.5........22....	.O....OO..O.OO......O..OO..O..O.O....O....O.OO......OO..OOO....O.O.O.........O.OO	{"work": 16, "mta": 1, "logic_history": "ECx,Ecx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-25	lime-jigsaw	AAAAABBBBAAAACBBBBCCCCCDDBECCFFDDEEEFCFFDEEGEFFFDDEEGGFHDDGGGGGHHHHGIIIIHHHHIIIII	...3.........1.........1.....3............3.3..12.........5.....3..433...........	..O.O.O....O....OOOO....O...O.O....OO....O.O.....OO..OO..O.O.....OO...O..O..O.O..	{"work": 16, "mta": 1, "logic_history": "Ecx,Ecx,ECx,ECx,Ecx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-109	lime-jigsaw-windows	AAABBBCCCAABBBBBCCAADEBEFCCADDEEEFFCADDEEEFFCGDDHEHFFIGDDHHHFFIGGGHHHIIIGGGGHIIII	..2..113......2.3................3............3.....3.25......2.3................	.O.O....OO.....O.O.O.OO.....O...O.O....O..O.OO.O..O.....O.O..O.O.O....O.....OOO..	{"work": 16, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx"}
puzzle-130	lime-jigsaw-windows	AABBBBBCDAABBBBCCDAAAAACCDDEEFFCCCCDEEEFFFFDDEEGGFFFDDEEGHHHHHHGGGIIIHIHGGGIIIIIH	.3....................2..4......3.6.........22...4..3.........1.....3......4.....	O.O....O..O..OO.....O...O.O.O....O.O...O..OO..O.O.O...O....O.O.O..OO......O.O...O	{"work": 16, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx"}
