# sample_puzzles
# these puzzles were generated by Jim Bumgardner
# there are 10 easier puzzles and 10 difficult puzzles
# they are tab delimited using the fields NAME, TYPE, PUZZLE, ANSWER, COMMENTS
................3...4......2...3.4....3.333.22.2.2......2.......3.....3..........	# O...O..O..OOO..........OOO...O..O..OOO.O..........OO.O......OOO..OOO....OO..O....	; diff=1, work=7, rclues=7, sym=4
.3...............2...3........233....3...2.3...5.31........2...2.....3.........3.	# O.O...O....OOO.........O.OO.O....OO.O..OO.....O.O...O.OOO..........OO..O.....OO.O	; diff=1, work=8, rclues=7, sym=5
......32.3...35.............3...4....33...23....2.1.......2...3.3.43..32..3......	# O...OO....O....OO.O...O.O....OOO....O....O..O.O.....OO..OO...O...O..OO...O.O....O	; diff=1, work=9, rclues=12, sym=5
.3...01111.......2...3.3......1....23.......23..2.3........3...2.......20112.3.3.	# O.OO.......OO...O.....O.O.OOO...O....O...O.O.....O.O.OOO.O.......O..O.O.....O.O.O	; diff=1, work=9, rclues=16, sym=4
.3.2.2.1..3.......23..3..3....33..4..34....3....23....22.....3..3.....3....3.1...	# O.O.O....O....O.O....O..O.O.OO..O......O..O.O.O...O.O.....O.O.OO..OO.....OO....O.	; diff=1, work=9, rclues=15, sym=4
...........32...3......2......334..2.........1..5421...4........3...3.3..........	# ...OOO...OO......O.O....OO...O...OO....OOO....OO.....O..OO....OO...O.O..O....O.O.	; diff=1, work=9, rclues=8, sym=5
......2.............2.3.5.......23.....432.....43.3.....2.3......3...............	# O..OO......O...OO.O....O.O....OO..O..OO.....O.O..O...O...O.OO..O.....O.O.OO..O...	; diff=1, work=9, rclues=6, sym=3
.............35....33.......2224.4.....2.2.....4.3223....3..23...3.3.............	# O...O.O...OO...O.....O.OO..O....O..O.O..O..O..O.O....O..O..O..OO..O...O...O.O..O.	; diff=1, work=10, rclues=12, sym=5
...1.2.2..3..3..3.....3.....3..3.......1.4.......3..4...4.3.4...3..3..3..3.4.2.1.	# .O..O...OO....O..O..OO..O..O....O.O..O..O..O..O...OO.....O...OO..OO..O..O.O.O....	; diff=1, work=10, rclues=14, sym=4
.................2..4..1.........24...43.23...12...6.....1.....2.................	# ...OO...OO.OO.....O.....O.O.OO.....O.O..O..O....O.O.O......OOO..O...OO..O.O.O....	; diff=1, work=12, rclues=5, sym=3
............3..4....2..34..2.2....4......3....4..2.3.1.44....3...4..32.....2.....	# ..O.OO.....O..O.O..O.....OO....OO..OO..O..O..O.O....O.O..O..O...O.O....O.O..O.O..	; diff=4, work=102, rclues=11, sym=5
..2.2..2.......2...33...11.........2...4.2..............44..42............1...3..	# .O....O.O..O.OO...O..O....OO..OO.....O....OO...OO...O..O..OO.....O..OO..O......OO	; diff=4, work=104, rclues=8, sym=1
2.2....20...2.......3...4.32...4.........3....2......11.2...3..........3.3.1..2..	# .O...OO..O.O...O.....O.O.O..O.....OO.O.OO......O.O.O.....OO...OO....O.O.O.O.....O	; diff=4, work=106, rclues=11, sym=5
2...12.....3......2.......3..2.43......2........2.33..35.............2......2....	# ..OO..O..OO....O......OO.O....O...OO.O...O.O.OO..O......O..O..OO.O.O.......O..O.O	; diff=4, work=107, rclues=8, sym=3
.13...1..1.......3.......3......2..............3..45......4..3...323....2........	# ...OO...O..OO...O.O.O.....OO...O...O.O...O.O..O..O..O....O.OO..O....OO...OO...O..	; diff=4, work=111, rclues=7, sym=0
..2...2.2...2.3.....33.4.3.......3..1..........3...3...2.4.4.3............2...2..	# O..O.O....O.....OO.O..O.O....O.OO.....O....OOO..O...O...O.O.O.....O.OO..OO......O	; diff=4, work=111, rclues=10, sym=4
.2...0..2......2...3.....4....2.4....34...43....3......53....1..........1..2.3...	# ..OO...O..O.O....OO...O.O...O....OO....O.O..O.OO..O...O...O...OO.O..O.......O.OO.	; diff=4, work=111, rclues=10, sym=3
.21.....22.....4...3.....3.3..3.3............2..4....1....4....2.......2.23...12.	# O.....OO...O..O..OO...OO....O.....OO.OO.O........OOO...O.O...O...OO..O..O..O....O	; diff=4, work=111, rclues=11, sym=4
..............2...4...22.3....1................3..45...1......2...........1.....2	# ..OOO....O..O....O.O....O.OOO...O.....O...OO....OO..O...O..OO......OO..OOO.....O.	; diff=4, work=113, rclues=4, sym=0
..3..1.1..3..322.3.4.........2.2.........3.3..........13..4........3.4..2.......2	# .O.OO....O.O....O.....O..OOOO....O.....O..O.O..OO.O.....O..OO..O....O..O.O..O..O.	; diff=4, work=114, rclues=11, sym=0
å
