..........3.5..........3.3.....4..4........3...3.3...2.4.1..3............2..2....	# ..O.O..O.O.O.O.......O..O.O.O.O..O.....OO.O..OO.....O...O..O..O.O...O..OO....O.O.	{'branches': 484}
.......3..33.................1....3.........21.33...3....4....2........2.........	# .OO.....O...O..O.OO...OO...O.....O.O..O..O.O..O..OO.....O...OO....OO..O.OO.O.....	{'branches': 0}
.......1.....33....2.3...4.............2...3.....4...3....2.3.......4.....3......	# O.O.O......OO...O......OO.OO..O...O.....OO..OOO.....O....O.O..O.OO...O...O..O.O..	{'branches': 330}
.2.........2..........3..332..3.......4..2......3.3.323.3............3...........	# ..O..OO..O......OOO..O.O....O..O..O....O...OO.OO.O.....O...OO..O...O...O..OO..O..	{'branches': 63}
......2..........2.2..34.....1...4....2..3........3...1.33...........2.....2.....	# .OOO.........OO.O.O.....OO.O....O.O.O..OO......O...O.O.O..O...O...O.O..O.OO...O..	{'branches': 309}
..3......3.....2..1...3.....................1..4............3.....234....3.2.....	# OO......O.O.OO.........O.OO..O...OO...OO..O...O.OO.........O.OOO.O...O..O...OO...	{'branches': 0}
...........3.3.......3.33.3...2.....3.1.........1.................4.3.....3...1.1	# O.O.O.......O..O.O..O.O..O.O....O..O.O...O.O.O....O.O..O.O..O....O...O.O.O.OO....	{'branches': 0}
.3.1.........34...........2....45.............4.4.......5....2.1...............2.	# O...O..O.OO....O.....O.OO........OOO.O..OO...O.O.O.....O.O....O..OO...O...O..O..O	{'branches': 0}
......2..3........3......1...5...1.............33....3...3...4....3..3...........	# O......OO.O.O..O...O.OO....O..OO.....OO....O......OOO...O.O...O..O..O..OO....OO..	{'branches': 0}
..2............2.12............124.4...3.......3.......2.....3...............3...	# O..O..O..O..OO......O...O.O.OO....O......O.OO.O.OO......O..O..O.....OOO.OO..O....	{'branches': 0}
...............5..23...2........3.4.1.4......3..2..2......3.1..2...............2.	# O....O.O.OO...O......O..OO...OO....O.O...OO....O.O...OOO......O...OO..O...O.O.O..	{'branches': 0}
...3.2.................4.........5.3..3..5...2.......12.4....4...................	# O.O.O....O..O.O.........OOO....OO.O..O..O.O...OO...O.....O.O..O.O.....OOO.OO.....	{'branches': 0}
2....1.....4...1..1.3..3......3.....2.3......3......11..2....3...................	# .OO.....OO..OO.......O..O.O..O...OO..O..O..O..O..OO...O..O.O.........OOOO.O..O...	{'branches': 0}
............5.2..3..2.3........4...3...............4..4.3...3.......3...........1	# ..O.O...OO.O.O.......O...OO.....OOO....O.OO..OOO.......O...O.O.O.....O.O.O.OO....	{'branches': 7}
1....................36.........................4....3..4..3...2.3.....1.........	# ......OOOO..O.O...OO...O......OOO.....O....OO.OO....O.O..OO.....O..O.O....O...O.O	{'branches': 0}
.2..2.......2......3.3............4.........1.2.4.........3.4...3.............3..	# O....O..O.O..O...OO...O...O.O.O..O.....O..OO.O.O.O.......O.O.O...O...OO..OO..O...	{'branches': 302}
......2.....2......4.3......1...3.....4..3............2...4...12.............3...	# ....OO.O.OOO...........O.OO..OO..O.....O..O.OOO..O......OO...O.....OOO..OO......O	{'branches': 97}
.....................2..4...4..2.........4......3.....2....4.....44.44...........	# ..OO....O...O...OOOO..O.........OOO.OO......OO...OO.....OO..O...O..O..O...O..OO..	{'branches': 515}
..............3...3.........4.3..2........1..2.4............4.....2..6....2......	# ...OO...OOO..O......O...OO.O...O...OOO.O........O..O.O..O..O.O..OO..O........OOO.	{'branches': 0}
..1...2............5....13.............3.3...1.2..4.........4.2...2.........2....	# ....OO.O.O.O.....O..OO....OOO.....O.O...O.O.....OO...O..O..O.O..O...OO...O.O..O..	{'branches': 256}
